product_id,parent_sku,title_len,title
43030183154,INTEGRATE-33,96,INTEGRATE Pita Gel Eyebrow Pencil 0.36g / Powder 0.4g Natural Brown & Ash Grey Direct from Japan
43780183200,,85,INTEGRATE Snipe Gel Liner S 1.5mm / N 2mm 0.07g Eyeliner Waterproof Direct From Japan
44180182913,4909978156848,102,INTEGRATE Suppin Maker Tone-Up Powder UV Refill 9.5g & Case SPF50+ PA++++ Foundation Direct From Japan
53359089766,4901872067978,97,INTEGRATE Super Keep Liquid Liner Eyeliner BK999 Black / BR690 Brown Waterproof Direct From Japan
55809095580,4909978200770,87,INTEGRATE Care Sara Base Makeup Base Pinkish Beige SPF50+ PA++++ 25ml Direct From Japan
55109091592,4909978210144,70,INTEGRATE Uru Pure Base Makeup Base SPF50+ PA+++ 30g Direct From Japan
49259090981,4909978212636,111,AQUALABEL Esthetic Cleansing Gel 130g Facial Cleanser Gentle Exfoliating Pore Makeup Removal Direct from Japan 
52509064210,MAQuilllAGE Dramatic -33,80,MAQuilllAGE Dramatic Essence Concealer Stick 2.7g SPF50 PA++++ Direct From Japan
53859064255,MAQUillAGE Essence-1,85,Maquillage Essence Base EX Pure Ivory Makeup Base Daytime Serum 30g Direct From Japan
48809088334,MAQUILLAGE Dramatic -22,76,MAQuillAGE Dramatic Skin Sensor Base NEO UV+ SPF50+ PA++++ Direct From Japan
46309090312,MAQUillAGE Dramatic Mist,63,MAQUillAGE Dramatic Mist EX 60ml Floral Scent Direct From Japan
50759064049,4909978211271,106,MAQUILLAGE Dramatic Essence Lip Care 3.8g Slightly Fruity Floral Scent Lip Balm Lipstick Direct from Japan
48959079201,,100,KAMINOMOTO A / AD Hair Tonic For Hair Loss Dandruff Fragrance-Free / Jasmine Scent Direct From Japan
57659058880,,87,KAMINOMOTO Ladies (EX / HQ / BC ) 150ml | Keep The Scalp & Hair Healthy | Made In Japan
57359035666,,92,DHC Medicated Lip Balm/ Sensitive Lip Balm/ Extra Moist Lip Cream Lip Care Direct From Japan
48350686798,,100,AQUALABEL Special Gel Cream EX 90g | All In One Cream | Whitening / Oil in / Moist Direct From Japan
46659012710,,53,Marielan Moisture Balance Face Mask Direct From Japan
46553706918,Maputi-1,113,MAPUTI Delicate Zone Cream Darkening Whitening Moisturizing Organic Fragrance White Cream 100ml Direct From Japan
27836367711,UNILEVER-1214-49,79,UNILEVER Dove Creamy Scrub Body Scrub 298g Cherry and Apricot Direct From Japan
56558858655,KRACIE-1211-50,113,Kracie Hadabisei One Wrinkle Care Eye Cream | Anti-Aging Intensive Care For Fine Lines & Wrinkles | Made In Japan
56958861246,4511413309377,98,"DHC Eyelash Tonic 6.5ml | Strengthening Lash Serum For Longer, Thicker & Healthier | Made In Japan"
53608865274,,81,GENKI Mouthwash Pro Smile Lab Orange Mint Flavor 12ml *30 Packs Direct from Japan
57106616235,ANESSA-11,96,Anessa All-in-One Beauty Pact UV Powder Foundation SPF50+ PA+++ 10g  w/ Sponge Direct From Japan
51608797587,Kracie-111,95,Kracie Hadabisei Turning Care Whitening Serum 30ml Anti-Spots & Anti-Freckles Direct From Japan
46908813535,Kracie Ichikami-1,110,Kracie ICHIKAMI Hair Styling Stick 13g Natural Keep / Super Hard For Frizz & Flyaway Control Direct From Japan
48708815798,4573142072038,121,Nihon Yakken Golden Green Juice 18 Lactic Acid Bacteria & 5 Bifidobacteria Dietary Fiber 3.5g×30 Sticks Direct From Japan
47758809823,4573142072687,106,NIHON YAKKEN Uji Matcha Aojiru Green Juice 3g×30 Sticks Barley Grass Leaves Green Tea Powder Made In Japan
50658789316,4573142070102,72,Nihon Yakken Super Fruit Green Juice Diet 3g×30 Sticks Direct From Japan
48008810352,4987205286100,104,Cielo Mousse Hair Color Foam Dye Gray Hair Coverage Easy Use Multiple Shades 50g + 50g Direct From Japan
54358779277,Procalite-1,101,UTENA Procalite EX Straight Perm / Hair Straightening Set ( For Short / Long Hair ) Direct From Japan
57658774841,4973167407523,104,Kanebo Media Luxe Pressed Powder O1 Lucent / 02 Medium Brigh Refill 6g w/ Compact Case Direct From Japan
55758787726,4973167698716,101,Kanebo Media BB Cream S SPF35 PA++ 35g | 01 Light / 02 Natural / 03 Healthy Base Makeup Made In Japan
53003660918,,89,The Stem Cell Essence & Serum 55ml Anti-Aging / Brightening / Hydrating Direct From Japan
27501048611,,111,Men's Bioré ONE Whole Body Cleanser Fruity Soap Scent/Herbal Green/2in1 Hair & Skin Smooth 480ml /Refills 340ml
47958765446,,111,NIHON YAKKEN Golden Aojiru Young Barley Powder / Domestic Vegetables Lactic Acid Bacteria×Enzymes Made In Japan
54201171815,4979654025560,104,Yamamoto Kanpo AOJIRU Pure Young Barley Grass Powder | Lactic Acid Bacteria | Vegetables | Made In Japan
25487564928,COWSOAPCP-1023-16,72,Cow Brand Milk Mild Baby Soap 90g Baby Soap and 3-Pack Direct From Japan
27584191455,KOBAYASHI-1225-38,105,Kobayashi Breath Parfum Bursting Capsules Precious Floral Rose Fragrance 30/50 Capsules Direct From Japan
29084195693,KOBAYASHI-1225-37,94,Kobayashi Speed Breath Care Instant Breath Refresh Soda Mint / Grape Mint / Muscat 30 Capsules
26251049128,,102,Men's Bioré Face Sheet / Facial Sheet/ Refreshing Face Wipes 34 Sheets (Extra Cool/ Soap/ Oil Control)
19387136600,,93,ROHTO Skin Aqua Tone Up UV Essence SPF50+ PA++++ Super Moisture Gel 110g Waterproof Sunscreen
54557796887,4901417723925,95,Kracie ICHIKAMI Smoothing Care Shampoo & Conditioner For Tangled & Stiff Hair Direct From Japan
44329966000,4987234360239,105,SYOSS Hair Color Cream 50g + 50g | Salon-Quality Permanent Hair Dye For Grey Coverage | Direct From Japan
56907376140,4987072041321,105,Kobayashi Garbage Sawaday Deodorizing Air Freshener For Garbage Cans / Trash Cans 2.7ml Direct From Japan
51908564206,,87,Kanebo Media Bright Up Cheek S 6 Colors 2.8g Blush Palette with Brush Direct From Japan
47758570535,Kanebo Media-22,84,Kanebo Media Gradation Color Eyeshadow N Natural Look Palette 3.1g Direct From Japan
56008544552,KANEBO Media-1,102,KANEBO Media Cream Foundation N SPF17 PA++ 25g PO-B1 / OC-B1 / OC-C1 / OC-D1 / OC-E1 Direct From Japan
43055263721,KOSE-0425-016,78,KOSE VISEE Color Duo Trick Concealer 2.5g Multicolor Compact Direct from Japan
27634402633,KOSE-1130-153,93,KOSE Visee Nenmaku Fake Rouge | Long Lasting Fragrance Free Lipstick Makeup Direct From Japan
47208554274,LION-111,103,LION Look Anti-Mold Smoke Agent | Japan Bathroom Mold Prevention Fumigation Cleaner | Direct From Japan
43279909688,4979654029131,93,Yamamoto Kampo Organic Matcha Powder 50g | Japan Organic Green Tea Powder | Direct From Japan
47958562682,,69,Yamamoto Kampo Pre-Meal Green Juice 4.1g*30 Sachets Direct from Japan
53408542333,,74,Yamamoto Kampo Slimming Tea Value Pack 8g*36 Bags / Pack Direct From Japan
27894563115,,109,Nihon Yakken 25 Types of Pure Domestic Vegetables Lactic Acid Bacteria × Enzymes 30 Packets Direct From Japan
57108545205,4979654026635,104,Yamamoto Kampo Pharmaceutical Fat Cleanse Tea / Healthy Tea / Salt Off Tea 10g×24 Bags Direct From Japan
48258549197,Off&Relax DEEP CLEANSE -1,111,Off & Relax Deep Cleanse Spa Shampoo & Treatment 460ml | Refreshing Spa Care For Oily Scalp | Direct From Japan
55358528851,4570110290166,95,Off & Relax Silky Night Repair Spa Shampoo & Treatment For Dry & Damaged Hair Direct From Japan
56658528593,MAQuillAGE Eye Color,107,MAQuillAGE Customizable Eye Color Palette Assortment /Destiny Brown / Smooth Clear Colors Direct From japan
24230460413,COW-COW-051027,88,Japanese Cow Beauty Soap 1 / 2 / 3 pcs - Red and Blue Box soap（Moist)） Direct from Japan
43907252559,,104,KOSE COSME DECORTE Eye Glow Gem Skin Shadow Dewy Glow/ Silky Matte/ Dazzling Gem Eye Shadow Eye Color 6g
53308486086,4979654027793,80,Yamamoto Kanpo Pharmaceutical Sugar & Fat Flow Tea 8g×24 Packs Direct From Japan
29700169442,COWBRAND-24051700336,55,Cow brand soap red box 90g x 6 pcs blue box 85g x 6 pcs
46758408746,4975759041740,114,SOFT99 Glaco Water Repellent | Super Fast Glaco | For Automotive Windshields & Windows & Mirrors Direct From Japan
24570822713,,100,Rohto Melano CC Men Medicinal Whitening Lotion 170ml/ Concentrated Serum 20ml/Gel 100g Made In Japan
28357059354,,90,Anessa Perfect UV Sunscreen Skin Care Milk 60ml & Gel 90g SPF 50+ PA++++ Direct From Japan
54008342574,,53,Kitami Hakka Tsusho Peppermint Mint Oil Made In Japan
49308362059,,95,SOFT99 Glaco Mist Water Repellent 100ml For Car Glass Coating Car Windshields Direct From Japan
57208341507,4975759201922,66,SOFT99 Anti-Fog Concentrated Gel For Glasses 10g Direct From Japan
28985214795,,90,Bioré UV Aqua Rich Airy Hold Cream 70g SPF50+PA++++ Sunscreen Waterproof Direct From Japan
42227520553,,56,Ryukakusan Throat Refreshing Candy 88g Direct from Japan
29486377796,UNILEVER-1214-41,91,UNILEVER Dove Moisture Care Shampoo Refill 350g / Conditioner Refill 350g Direct From Japan
57708217505,Kobayashi-Toilet,110,Kobayashi Bluelet Toilet Cleaning Tablets / Toilet Bowl Cleaning Foaming Powder Effervescent Direct From Japan
25868925488,,88,HADA LABO Hydrating All In One Perfect Gel 100g Refill 80g Moisturiser Direct From Japan
24068935551,,91,Hada Labo Premium Whitening All In One Perfect Cream Gel 100g /Refill 80g Direct From Japan
52208122631,Kobayashi -111,117,Kobayashi Portable Stain Removal Sheet | Instant Stain Remover Wipes For Clothes | 8 Sheets/ Pack | Direct From Japan
